Source,Target,Type,Id,Label,timeset,Weight
8,3,Undirected,0,,,1
9,5,Undirected,1,,,1
9,6,Undirected,2,,,1
10,0,Undirected,3,,,1
10,2,Undirected,4,,,1
13,5,Undirected,5,,,1
13,6,Undirected,6,,,1
13,9,Undirected,7,,,1
14,0,Undirected,8,,,1
14,3,Undirected,9,,,1
15,0,Undirected,10,,,1
16,14,Undirected,11,,,1
17,1,Undirected,12,,,1
17,6,Undirected,13,,,1
17,9,Undirected,14,,,1
17,13,Undirected,15,,,1
18,15,Undirected,16,,,1
19,1,Undirected,17,,,1
19,7,Undirected,18,,,1
20,8,Undirected,19,,,1
20,16,Undirected,20,,,1
20,18,Undirected,21,,,1
21,18,Undirected,22,,,1
22,17,Undirected,23,,,1
24,14,Undirected,24,,,1
24,15,Undirected,25,,,1
24,18,Undirected,26,,,1
25,17,Undirected,27,,,1
26,1,Undirected,28,,,1
26,25,Undirected,29,,,1
27,1,Undirected,30,,,1
27,7,Undirected,31,,,1
27,17,Undirected,32,,,1
27,25,Undirected,33,,,1
27,26,Undirected,34,,,1
28,1,Undirected,35,,,1
28,8,Undirected,36,,,1
28,20,Undirected,37,,,1
29,10,Undirected,38,,,1
29,18,Undirected,39,,,1
29,21,Undirected,40,,,1
29,24,Undirected,41,,,1
30,7,Undirected,42,,,1
30,19,Undirected,43,,,1
30,28,Undirected,44,,,1
31,17,Undirected,45,,,1
32,9,Undirected,46,,,1
32,13,Undirected,47,,,1
33,12,Undirected,48,,,1
33,14,Undirected,49,,,1
33,16,Undirected,50,,,1
33,21,Undirected,51,,,1
34,14,Undirected,52,,,1
34,33,Undirected,53,,,1
35,29,Undirected,54,,,1
36,1,Undirected,55,,,1
36,20,Undirected,56,,,1
36,23,Undirected,57,,,1
37,8,Undirected,58,,,1
37,14,Undirected,59,,,1
37,16,Undirected,60,,,1
37,21,Undirected,61,,,1
37,33,Undirected,62,,,1
37,34,Undirected,63,,,1
37,36,Undirected,64,,,1
38,14,Undirected,65,,,1
38,16,Undirected,66,,,1
38,20,Undirected,67,,,1
38,33,Undirected,68,,,1
39,36,Undirected,69,,,1
40,0,Undirected,70,,,1
40,7,Undirected,71,,,1
40,14,Undirected,72,,,1
40,15,Undirected,73,,,1
40,33,Undirected,74,,,1
40,36,Undirected,75,,,1
40,37,Undirected,76,,,1
41,1,Undirected,77,,,1
41,9,Undirected,78,,,1
41,13,Undirected,79,,,1
42,0,Undirected,80,,,1
42,2,Undirected,81,,,1
42,10,Undirected,82,,,1
42,30,Undirected,83,,,1
43,14,Undirected,84,,,1
43,29,Undirected,85,,,1
43,33,Undirected,86,,,1
43,37,Undirected,87,,,1
43,38,Undirected,88,,,1
44,2,Undirected,89,,,1
44,20,Undirected,90,,,1
44,34,Undirected,91,,,1
44,38,Undirected,92,,,1
45,8,Undirected,93,,,1
45,15,Undirected,94,,,1
45,18,Undirected,95,,,1
45,21,Undirected,96,,,1
45,23,Undirected,97,,,1
45,24,Undirected,98,,,1
45,29,Undirected,99,,,1
45,37,Undirected,100,,,1
46,43,Undirected,101,,,1
47,0,Undirected,102,,,1
47,10,Undirected,103,,,1
47,20,Undirected,104,,,1
47,28,Undirected,105,,,1
47,30,Undirected,106,,,1
47,42,Undirected,107,,,1
49,34,Undirected,108,,,1
49,46,Undirected,109,,,1
50,14,Undirected,110,,,1
50,16,Undirected,111,,,1
50,20,Undirected,112,,,1
50,33,Undirected,113,,,1
50,42,Undirected,114,,,1
50,45,Undirected,115,,,1
51,4,Undirected,116,,,1
51,11,Undirected,117,,,1
51,18,Undirected,118,,,1
51,21,Undirected,119,,,1
51,23,Undirected,120,,,1
51,24,Undirected,121,,,1
51,29,Undirected,122,,,1
51,45,Undirected,123,,,1
51,50,Undirected,124,,,1
52,14,Undirected,125,,,1
52,29,Undirected,126,,,1
52,38,Undirected,127,,,1
52,40,Undirected,128,,,1
53,43,Undirected,129,,,1
54,1,Undirected,130,,,1
54,6,Undirected,131,,,1
54,7,Undirected,132,,,1
54,13,Undirected,133,,,1
54,19,Undirected,134,,,1
54,41,Undirected,135,,,1
55,15,Undirected,136,,,1
55,51,Undirected,137,,,1
56,5,Undirected,138,,,1
56,6,Undirected,139,,,1
57,5,Undirected,140,,,1
57,6,Undirected,141,,,1
57,9,Undirected,142,,,1
57,13,Undirected,143,,,1
57,17,Undirected,144,,,1
57,39,Undirected,145,,,1
57,41,Undirected,146,,,1
57,48,Undirected,147,,,1
57,54,Undirected,148,,,1
58,38,Undirected,149,,,1
59,3,Undirected,150,,,1
59,8,Undirected,151,,,1
59,15,Undirected,152,,,1
59,36,Undirected,153,,,1
59,45,Undirected,154,,,1
60,32,Undirected,155,,,1
61,2,Undirected,156,,,1
61,37,Undirected,157,,,1
61,53,Undirected,158,,,1
